title,found_via,search_phrase
AI content detection,wikiproject_links,WikiProject AI Cleanup
ChatGPT,wikiproject_links,WikiProject AI Cleanup
Estola albosignata,wikiproject_links,WikiProject AI Cleanup
GPTZero,wikiproject_links,WikiProject AI Cleanup
Generative pre-trained transformer,wikiproject_links,WikiProject AI Cleanup
Hallucination (artificial intelligence),wikiproject_links,WikiProject AI Cleanup
Large language models,wikiproject_links,WikiProject AI Cleanup
Llao Llao Hotel,wikiproject_links,WikiProject AI Cleanup
Netherlands,wikiproject_links,WikiProject AI Cleanup
Prompt engineering,wikiproject_links,WikiProject AI Cleanup
"Rezaabad, Saveh",wikiproject_links,WikiProject AI Cleanup
Villa Llao Llao,wikiproject_links,WikiProject AI Cleanup
Wiki markup,wikiproject_links,WikiProject AI Cleanup
