WikiProject,Watchers,Monthly Views,Total AI References,Main Page AI Count,AI Policy Pages,Has Specific AI Policy,Subpages Count
Wikipedia:WikiProject AI Cleanup,207,2991,109,109,0,No,27
Wikipedia:WikiProject AI in Korean Wikipedia,0,38,6,6,0,No,0
Wikipedia:WikiProject Academic Journals,196,0,5,5,0,No,500
Wikipedia:WikiProject Abortion,38,0,2,1,1,No,17
Wikipedia:WikiProject 2010s,0,39,2,2,0,No,3
Wikipedia:WikiProject A Cappella,0,0,2,2,0,No,6
Wikipedia:WikiProject A Song of Ice and Fire,58,0,1,1,0,No,11
Wikipedia:WikiProject Abandoned Drafts,66,0,0,0,0,No,69
Wikipedia:WikiProject Abandoned articles,44,0,0,0,0,No,9
Wikipedia:WikiProject .NET,35,38,0,0,0,No,4
Wikipedia:WikiProject AIDS,32,37,0,0,0,No,11
Wikipedia:WikiProject 20th Century Studios,0,14,0,0,0,No,15
Wikipedia:WikiProject AMWikicommonsUploadWorkflow,0,4,0,0,0,No,0
Wikipedia:WikiProject AP Biology 2008,0,14,0,0,0,No,0
Wikipedia:WikiProject AP Biology 2009,0,12,0,0,0,No,0
Wikipedia:WikiProject AP Biology 2010,0,15,0,0,0,No,0
Wikipedia:WikiProject AP Biology 2011,0,0,0,0,0,No,1
Wikipedia:WikiProject Abkhazia,0,0,0,0,0,No,6
Wikipedia:WikiProject Abu Dhabi,0,0,0,0,0,No,3
